method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,57.3198046060279,0.0,0.5832496080547571,0.0,3927.916015625,0.0
ours,57.74962529866025,0.0,0.7786654988303781,0.0,3728.12158203125,0.0
