method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,1,0.6912751677852349,0.0,0.6477960122905615,0.0
baseline,glue_mrpc,glue/mrpc,1,0.6838235294117647,0.0,0.663019248083526,0.0
baseline,glue_rte,glue/rte,1,0.4729241877256318,0.0,0.7039314241068704,0.0
ours,glue_cola,glue/cola,1,0.6912751677852349,0.0,0.6609543627910032,0.0
ours,glue_mrpc,glue/mrpc,1,0.6838235294117647,0.0,0.6497442073681775,0.0
ours,glue_rte,glue/rte,1,0.4729241877256318,0.0,0.7057040103844234,0.0
