method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,0.5677963771418724
baseline,glue/rte,glue/cola,-0.5045196310998392
baseline,glue/mrpc,glue/rte,0.5677963771418724
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/cola,-0.23888350699721492
baseline,glue/cola,glue/rte,-0.5045196310998392
baseline,glue/cola,glue/mrpc,-0.23888350699721492
baseline,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,0.5540457429461295
ours,glue/rte,glue/cola,-0.49383285288799733
ours,glue/mrpc,glue/rte,0.5540457429461295
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/cola,-0.13714376569157857
ours,glue/cola,glue/rte,-0.49383285288799733
ours,glue/cola,glue/mrpc,-0.13714376569157857
ours,glue/cola,glue/cola,1.0
