method,expert,purity_mean,purity_std
baseline,e0,0.48247137665748596,0.0
baseline,e1,0.4124867916107178,0.0
baseline,e2,0.5246555805206299,0.0
baseline,e3,0.6128886938095093,0.0
ours,e0,0.5475143790245056,0.0
ours,e1,0.4579426348209381,0.0
ours,e2,0.45738282799720764,0.0
ours,e3,0.4603661596775055,0.0
