method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,0.014100780425048151
baseline,e0,e2,0.012747157397928475
baseline,e0,e3,0.02359757161549024
baseline,e1,e0,0.014100780425048151
baseline,e1,e1,1.0
baseline,e1,e2,0.03974974418944636
baseline,e1,e3,0.05124666642710172
baseline,e2,e0,0.012747157397928475
baseline,e2,e1,0.03974974418944636
baseline,e2,e2,1.0
baseline,e2,e3,0.05385445050157074
baseline,e3,e0,0.02359757161549024
baseline,e3,e1,0.05124666642710172
baseline,e3,e2,0.05385445050157074
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,-0.02467465178255693
ours,e0,e2,0.018027779028155794
ours,e0,e3,0.062391454527119646
ours,e1,e0,-0.02467465178255693
ours,e1,e1,1.0
ours,e1,e2,0.0022326848508678414
ours,e1,e3,-0.010214927578122805
ours,e2,e0,0.018027779028155794
ours,e2,e1,0.0022326848508678414
ours,e2,e2,1.0
ours,e2,e3,0.032520043243843534
ours,e3,e0,0.062391454527119646
ours,e3,e1,-0.010214927578122805
ours,e3,e2,0.032520043243843534
ours,e3,e3,1.0
