method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,amazon_polarity,amazon_polarity,1,0.71875,0.0,0.6896521970629692,0.0
baseline,glue_sst2,glue/sst2,1,0.59375,0.0,0.6433071196079254,0.0
baseline,yelp_polarity,yelp_polarity,1,0.5625,0.0,0.6720214188098907,0.0
ours,amazon_polarity,amazon_polarity,1,0.5,0.0,0.6872193291783333,0.0
ours,glue_sst2,glue/sst2,1,0.625,0.0,0.6367846056818962,0.0
ours,yelp_polarity,yelp_polarity,1,0.5625,0.0,0.6886184960603714,0.0
