method,expert,purity_mean,purity_std
baseline,e0,0.617595374584198,0.0
baseline,e1,0.590718686580658,0.0
baseline,e2,0.526043713092804,0.0
baseline,e3,0.4806525409221649,0.0
ours,e0,0.6345475316047668,0.0
ours,e1,0.5055121183395386,0.0
ours,e2,0.4016507863998413,0.0
ours,e3,0.38549143075942993,0.0
