method,val_acc_mean,val_acc_std,overall_task_conflict_cos_mean,overall_task_conflict_cos_std,avg_intra_expert_coherence_mean,avg_intra_expert_coherence_std,expert_purity_mean_mean,expert_purity_mean_std,expert_diversity_mean_mean,expert_diversity_mean_std,load_cv_mean,load_cv_std,load_max_min_ratio_mean,load_max_min_ratio_std,utilization_ratio_mean,utilization_ratio_std,router_entropy_mean,router_entropy_std,inter_expert_similarity_mean,inter_expert_similarity_std,task_grad_norm_cv_mean,task_grad_norm_cv_std
baseline,0.625,0.0,0.31164098065296625,0.0,0.3209448643225956,0.0,0.5537525787949562,0.0,0.8842761605359822,0.0,0.5421051706138355,0.0,3.7506152480421053,0.0,1.0,0.0,1.246333008011182,0.0,0.13928235056777746,0.0,0.3598759616278229,0.0
ours,0.5625,0.0,0.2636733144067302,0.0,0.2622826602341094,0.0,0.48180046677589417,0.0,0.9327695243444213,0.0,0.5815868973731995,0.0,4.138982323465046,0.0,0.5,0.0,1.2040353367726009,0.0,0.18341876324889053,0.0,0.31316139168320295,0.0
