method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,5.675015489105135,0.0,0.5606434270739555,0.0,3747.55712890625,0.0
ours,5.700017486233264,0.0,0.6278147529810667,0.0,3542.6376953125,0.0
