method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
baseline,1,0.6211210830854281,0.0,0.6211210830854281,0.0,0.6211210830854281,0.0
cagrad,1,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
ours,1,0.47641557773983045,0.0,0.47641557773983045,0.0,0.47641557773983045,0.0
