method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.ours.lambda_align
baseline,local_var_topk_022,local_var_topk,2,0.7041558250190941,0.029251177449472587,0.7041558250190941,0.7041558250190941,0.697213352052,2.5265375e-05,0.015433684256,
baseline,local_var_topk_019,local_var_topk,2,0.7024622201993,0.02670370133209038,0.7024622201993,0.7024622201993,0.697213352052,2.5265375e-05,0.005433684256,
baseline,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.701566127868539,0.010872968704680408,0.701566127868539,0.701566127868539,1.0,1.2632687420587218e-05,0.01543368425632205,
baseline,local_var_topk_025,local_var_topk,2,0.7012306049064163,0.006709325279470213,0.7012306049064163,0.7012306049064163,0.697213352052,2.5265375e-05,0.025433684256,
baseline,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.6914222888777541,0.012084414444025693,0.6914222888777541,0.6914222888777541,0.6972133520518287,1.2632687420587218e-05,0.01543368425632205,
baseline,local_var_topk_024,local_var_topk,2,0.6893121746473567,0.0038730109752006525,0.6893121746473567,0.6893121746473567,0.5,2.5265375e-05,0.025433684256,
baseline,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.6888005311154579,0.010733076979651146,0.6888005311154579,0.6888005311154579,0.8623574172053887,1.2632687420587218e-05,0.01543368425632205,
baseline,local_var_topk_011,local_var_topk,2,0.6881902144231813,0.0016054116265264429,0.6881902144231813,0.6881902144231813,0.997213352052,1.2632687e-05,0.005433684256,
baseline,local_var_topk_021,local_var_topk,2,0.6854413411073085,0.01805102790435753,0.6854413411073085,0.6854413411073085,0.5,2.5265375e-05,0.015433684256,
baseline,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.6854331318940001,0.012941348290016641,0.6854331318940001,0.6854331318940001,0.9733492506568604,1.2632687420587218e-05,0.01543368425632205,
baseline,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.6844230833531452,0.0035847920848048886,0.6844230833531452,0.6844230833531452,0.6271934850757253,1.2632687420587218e-05,0.01543368425632205,
baseline,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.6841357099862695,0.018954710151935672,0.6841357099862695,0.6841357099862695,1.0,1.2632687420587218e-05,0.024742505611920138,
baseline,coord_01_train_lr_005,coord:train.lr,2,0.6836352448974324,0.005865683685341461,0.6836352448974324,0.6836352448974324,1.0,1.2632687420587218e-05,0.01,
baseline,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.6834090871506373,0.008121259067433884,0.6834090871506373,0.6834090871506373,0.9537451003327635,1.2632687420587218e-05,0.01543368425632205,
baseline,coord_01_anchor,coord:train.lr,2,0.6824618759948757,0.012769991213116005,0.6824618759948757,0.6824618759948757,1.0,2e-05,0.01,
baseline,local_var_topk_017,local_var_topk,2,0.6819877691827343,0.005304425738183904,0.6819877691827343,0.6819877691827343,0.997213352052,1.2632687e-05,0.025433684256,
baseline,local_var_topk_020,local_var_topk,2,0.6817776071007959,0.026234121888363215,0.6817776071007959,0.6817776071007959,0.997213352052,2.5265375e-05,0.005433684256,
baseline,coord_03_train_grad_clip_010,coord:train.grad_clip,2,0.6813043458121746,0.01070671870295542,0.6813043458121746,0.6813043458121746,1.3976850553319569,1.2632687420587218e-05,0.01543368425632205,
baseline,coord_03_train_grad_clip_003,coord:train.grad_clip,2,0.6812318584303829,0.00876705239958675,0.6812318584303829,0.6812318584303829,0.8690175238301865,1.2632687420587218e-05,0.01543368425632205,
baseline,local_var_topk_026,local_var_topk,2,0.6809565090300894,0.011187280055013016,0.6809565090300894,0.6809565090300894,0.997213352052,2.5265375e-05,0.025433684256,
baseline,coord_03_anchor,coord:train.grad_clip,2,0.6801488997459765,0.003999836675396606,0.6801488997459765,0.6801488997459765,1.0,1.2632687420587218e-05,0.01543368425632205,
baseline,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.6795532072171941,0.01494194036008506,0.6795532072171941,0.6795532072171941,1.0,1.2632687420587218e-05,0.02446709884391641,
baseline,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.67949886889879,0.006788886497669233,0.67949886889879,0.67949886889879,1.0,1.2632687420587218e-05,0.01546097607936744,
baseline,local_var_topk_014,local_var_topk,2,0.6783983168211356,0.007111986768071676,0.6783983168211356,0.6783983168211356,0.997213352052,1.2632687e-05,0.015433684256,
baseline,local_var_topk_018,local_var_topk,2,0.6772284728184719,0.0007229409907382744,0.6772284728184719,0.6772284728184719,0.5,2.5265375e-05,0.005433684256,
baseline,coord_02_train_weight_decay_001,coord:train.weight_decay,2,0.6769827011882779,0.017117861205328988,0.6769827011882779,0.6769827011882779,1.0,1.2632687420587218e-05,0.006765903978014576,
baseline,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.6757418346238342,0.002093007225261456,0.6757418346238342,0.6757418346238342,1.0,1.2632687420587218e-05,0.007589584457877514,
baseline,local_var_topk_023,local_var_topk,2,0.6754079093901026,0.02311571379050331,0.6754079093901026,0.6754079093901026,0.997213352052,2.5265375e-05,0.015433684256,
baseline,local_var_topk_013,local_var_topk,2,0.6753091966399948,0.013646892422238377,0.6753091966399948,0.6753091966399948,0.697213352052,1.2632687e-05,0.015433684256,
baseline,local_var_topk_010,local_var_topk,2,0.6752705245433364,0.008597582904457834,0.6752705245433364,0.6752705245433364,0.697213352052,1.2632687e-05,0.005433684256,
baseline,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.6750878957047248,0.009487683046793094,0.6750878957047248,0.6750878957047248,1.0,1.2632687420587218e-05,0.03175375624865879,
baseline,coord_01_train_lr_004,coord:train.lr,2,0.6750344029098406,0.015104861996648511,0.6750344029098406,0.6750344029098406,1.0,2.5551784142791192e-05,0.01,
baseline,coord_02_train_weight_decay_006,coord:train.weight_decay,2,0.6744006575808916,0.009383400870019376,0.6744006575808916,0.6744006575808916,1.0,1.2632687420587218e-05,0.04941338139680235,
baseline,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.6735631410835682,0.007584761668580908,0.6735631410835682,0.6735631410835682,1.4235623362774221,1.2632687420587218e-05,0.01543368425632205,
baseline,coord_01_train_lr_008,coord:train.lr,2,0.67351521771535,0.0063095001122426275,0.67351521771535,0.67351521771535,1.0,3.073869450200515e-05,0.01,
baseline,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.6729531142446722,0.017406699392216174,0.6729531142446722,0.6729531142446722,1.0,1.2632687420587218e-05,0.007863245139373703,
baseline,local_var_topk_000,local_var_topk,2,0.6726187026228286,0.02410244256644334,0.6726187026228286,0.6726187026228286,0.5,6.316344e-06,0.005433684256,
baseline,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.6722401131040128,0.0066788623961202,0.6722401131040128,0.6722401131040128,1.0,1.2632687420587218e-05,0.012627914022778375,
baseline,local_var_topk_016,local_var_topk,2,0.6715382508166853,0.001085598471049165,0.6715382508166853,0.6715382508166853,0.697213352052,1.2632687e-05,0.025433684256,
baseline,local_var_topk_009,local_var_topk,2,0.6711871549514661,0.00426349155221889,0.6711871549514661,0.6711871549514661,0.5,1.2632687e-05,0.005433684256,
baseline,local_var_topk_015,local_var_topk,2,0.6711605068213896,0.020037998279452962,0.6711605068213896,0.6711605068213896,0.5,1.2632687e-05,0.025433684256,
baseline,local_var_topk_001,local_var_topk,2,0.6700924381172364,0.0011947374593478388,0.6700924381172364,0.6700924381172364,0.697213352052,6.316344e-06,0.005433684256,
baseline,coord_02_anchor,coord:train.weight_decay,2,0.6682263252905327,0.008288840980790912,0.6682263252905327,0.6682263252905327,1.0,1.2632687420587218e-05,0.01,
baseline,local_var_topk_012,local_var_topk,2,0.6674994126015197,0.009979806013942438,0.6674994126015197,0.6674994126015197,0.5,1.2632687e-05,0.015433684256,
baseline,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.6661645918311275,0.004879608846906636,0.6675786443766081,0.664750539285647,1.5112336071971466,1.2632687420587218e-05,0.01543368425632205,
baseline,coord_03_train_grad_clip_008,coord:train.grad_clip,2,0.6649911642509353,0.003952282340019098,0.6664458747422115,0.6635364537596591,1.979075829358662,1.2632687420587218e-05,0.01543368425632205,
