method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,554.0941496185958,144.6431518939142,0.3604663858962013,0.0896145864589027,3621.599609375,0.0
cagrad,3481.4588285048026,432.84736509599816,3.3629091991083238,0.4144011259620229,3619.30546875,1.4000000000000001
ours,918.9961953300284,213.21452030866396,0.7330363905990962,0.16186695271551174,2896.83349609375,0.0
