method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,0.026353531093234774
baseline,e0,e2,0.0073355497087016965
baseline,e0,e3,0.016836653728729358
baseline,e1,e0,0.026353531093234774
baseline,e1,e1,1.0
baseline,e1,e2,0.03939594081856664
baseline,e1,e3,0.032251769205728996
baseline,e2,e0,0.0073355497087016965
baseline,e2,e1,0.03939594081856664
baseline,e2,e2,1.0
baseline,e2,e3,0.0232302955016979
baseline,e3,e0,0.016836653728729358
baseline,e3,e1,0.032251769205728996
baseline,e3,e2,0.0232302955016979
baseline,e3,e3,1.0
cagrad,e0,e0,1.0
cagrad,e0,e1,0.021997617114462516
cagrad,e0,e2,0.04370968400316111
cagrad,e0,e3,0.044240567148976506
cagrad,e1,e0,0.021997617114462516
cagrad,e1,e1,1.0
cagrad,e1,e2,0.054442382645253695
cagrad,e1,e3,0.007844925157103952
cagrad,e2,e0,0.04370968400316111
cagrad,e2,e1,0.054442382645253695
cagrad,e2,e2,1.0
cagrad,e2,e3,0.01775172118163743
cagrad,e3,e0,0.044240567148976506
cagrad,e3,e1,0.007844925157103952
cagrad,e3,e2,0.01775172118163743
cagrad,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,-0.0039697646539556914
ours,e0,e2,0.023110152083855414
ours,e0,e3,0.008288844621380593
ours,e1,e0,-0.0039697646539556914
ours,e1,e1,1.0
ours,e1,e2,0.046796934024493364
ours,e1,e3,0.04079566588090449
ours,e2,e0,0.023110152083855414
ours,e2,e1,0.046796934024493364
ours,e2,e2,1.0
ours,e2,e3,0.06367486908973788
ours,e3,e0,0.008288844621380593
ours,e3,e1,0.04079566588090449
ours,e3,e2,0.06367486908973788
ours,e3,e3,1.0
