method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
baseline,5,0.7967386760873031,0.015271135365490306,0.7927073845230352,0.019625125170103085,0.7947230303051691,0.01740294224591334
ours,5,0.7920654675910213,0.010910658008250793,0.7879870676414065,0.014869276252644354,0.7900262676162139,0.012863053484272852
cagrad,5,0.7904118040015173,0.008691516362398406,0.7826100414079166,0.011157174464354536,0.786510922704717,0.009423190263148145
