method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,0.006244490000589633
baseline,e0,e2,-0.0086777849243969
baseline,e0,e3,-0.015213818132539303
baseline,e1,e0,0.006244490000589633
baseline,e1,e1,1.0
baseline,e1,e2,-0.09843312657511363
baseline,e1,e3,-0.16409268406861863
baseline,e2,e0,-0.0086777849243969
baseline,e2,e1,-0.09843312657511363
baseline,e2,e2,1.0
baseline,e2,e3,0.05228496747775757
baseline,e3,e0,-0.015213818132539303
baseline,e3,e1,-0.16409268406861863
baseline,e3,e2,0.05228496747775757
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.013586019923000786
ours,e0,e2,0.06337211011626506
ours,e0,e3,-0.04266073282080689
ours,e1,e0,0.013586019923000786
ours,e1,e1,1.0
ours,e1,e2,-0.09516596896938193
ours,e1,e3,0.06735331799697403
ours,e2,e0,0.06337211011626506
ours,e2,e1,-0.09516596896938193
ours,e2,e2,1.0
ours,e2,e3,-0.037476472604620045
ours,e3,e0,-0.04266073282080689
ours,e3,e1,0.06735331799697403
ours,e3,e2,-0.037476472604620045
ours,e3,e3,1.0
