method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6811489309701655,0.34484347701072693,0.2141454815864563,0.007435629144310951,0.4335756003856659
baseline,3,1000.0,0.6821777908200467,0.2815592586994171,0.09408272802829742,0.5576114058494568,0.0667465403676033
baseline,5,1000.0,0.6906935966539162,0.3010704517364502,0.2718922197818756,0.10795802623033524,0.31907933950424194
baseline,7,1000.0,0.6821675633114798,0.07477407902479172,0.5306921601295471,0.01644202508032322,0.3780916929244995
baseline,11,1000.0,0.6254223787950145,0.6772207617759705,0.0,0.20115086436271667,0.12162809073925018
ours,2,1000.0,0.6878840423844479,0.33686181902885437,0.1897439956665039,0.45081716775894165,0.02257709391415119
ours,3,1000.0,0.6795650839598643,0.12642277777194977,0.031585693359375,0.4937363862991333,0.3482552170753479
ours,5,1000.0,0.6749271184412969,0.4222520887851715,0.0,0.0,0.5777480602264404
ours,7,1000.0,0.6888125186648082,0.31392061710357666,0.26311782002449036,0.06866712123155594,0.3542942702770233
ours,11,1000.0,0.6869187549584441,0.13863345980644226,0.059812258929014206,0.3429828882217407,0.4585714340209961
