method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
ours,5,0.7904825746029439,0.008508665320803757,0.7877064386678277,0.011025252650238383,0.7890945066353858,0.009699358017125053
baseline,5,0.7917005260660706,0.014710500454431407,0.7845146999269264,0.024277111944892207,0.7881076129964985,0.018968729663369238
