method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.810738255033557,0.010823521220839925,0.45565700697506434,0.022789100847441342
baseline,glue_mrpc,glue/mrpc,5,0.8617647058823529,0.013567012257939264,0.401367077780157,0.03575069739473525
baseline,glue_rte,glue/rte,5,0.6967509025270757,0.043859473064223664,0.7002368527262338,0.07422405569937564
ours,glue_cola,glue/cola,5,0.8057526366251198,0.0081940021550226,0.4662975006296037,0.04699298335742404
ours,glue_mrpc,glue/mrpc,5,0.8764705882352942,0.012459083359940016,0.3709395076628711,0.025299002514869152
ours,glue_rte,glue/rte,5,0.6974729241877256,0.03248295127567363,0.6508150781286615,0.055214302093188984
