method,expert,score_var,score_mean,score_std
baseline,e0,0.020102464676915382,0.2781097911298275,0.14178316076641606
baseline,e1,0.020437907944356175,0.44056798815727233,0.1429612113279549
baseline,e2,0.018051546142741744,0.2036447545979172,0.1343560424496857
baseline,e3,0.026173083997976958,0.23652958683669567,0.16178097538949676
ours,e0,0.00989307071581549,0.3008422993123531,0.09946391665229905
ours,e1,0.01784259526439841,0.36077339574694633,0.13357617775785624
ours,e2,0.03044946237465123,0.23210332372691483,0.17449774317924927
ours,e3,0.054165985697449626,0.2786794066429138,0.2327358711016624
