method,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
baseline,2,0.7777190662081225,0.7777190662081225,0.7777190662081225,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s2.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s2_curve.csv
baseline,3,0.788246218620869,0.788246218620869,0.788246218620869,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s3.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s3_curve.csv
baseline,5,0.7706414744319456,0.7706414744319456,0.7706414744319456,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s5.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s5_curve.csv
baseline,7,0.8201565873363131,0.8089205383895618,0.8145385628629375,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s7.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s7_curve.csv
baseline,11,0.8032291414211441,0.8032291414211441,0.8032291414211441,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s11.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/baseline_s11_curve.csv
ours,2,0.7884940107412142,0.7855784646618563,0.7870362377015352,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s2.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s2_curve.csv
ours,3,0.7854973453049962,0.7834740527665044,0.7844856990357503,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s3.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s3_curve.csv
ours,5,0.7984765894501785,0.7984765894501785,0.7984765894501785,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s5.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s5_curve.csv
ours,7,0.8126077250693685,0.8126077250693685,0.8126077250693685,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s7.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s7_curve.csv
ours,11,0.7910229150334489,0.7860234164656582,0.7885231657495535,False,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s11.json,runs/paper_suite_supplement/appendix/rank/multi_glue3_roberta_r16_lora_e4_k2/final/ours_s11_curve.csv
