method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,local_var_topk_023,local_var_topk,2,0.8024557701839246,0.002250005955426626,0.8024557701839246,0.8024557701839246,0.003264950101,2.0,5.0432586e-05,0.03802613486924597
ours,local_var_topk_018,local_var_topk,2,0.7975444252196716,0.006852898849393441,0.7975444252196716,0.7975444252196716,0.00163247505,1.583381917401,5.0432586e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_003,coord:method.ours.lambda_align,2,0.7890049557971616,0.007713711075009844,0.7890049557971616,0.7890049557971616,0.0032649501008336626,1.8833819174013477,2.521629284502662e-05,0.03802613486924597
ours,local_var_topk_021,local_var_topk,2,0.7844165004293902,0.022287095085007425,0.7844165004293902,0.7844165004293902,0.003264950101,1.583381917401,5.0432586e-05,0.03802613486924597
ours,local_var_topk_019,local_var_topk,2,0.7838025018922193,0.018048653934473746,0.7838025018922193,0.7838025018922193,0.00163247505,1.883381917401,5.0432586e-05,0.03802613486924597
ours,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.7812944104866362,0.012166841675896156,0.7812944104866362,0.7812944104866362,0.001,1.0,2.521629284502662e-05,0.03802613486924597
ours,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.7805134493325997,0.002234629587061221,0.7805134493325997,0.7805134493325997,0.001,1.8833819174013477,2.521629284502662e-05,0.03802613486924597
ours,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.7800422721604816,0.007229600786437584,0.7800422721604816,0.7800422721604816,0.001,0.8112607949285354,2.521629284502662e-05,0.03802613486924597
ours,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.7789481350330132,0.00227991316863696,0.7789481350330132,0.7789481350330132,0.001,0.7083602143821242,2.521629284502662e-05,0.03802613486924597
ours,coord_02_train_weight_decay_009,coord:train.weight_decay,2,0.7784689451823179,0.008308454864189907,0.7784689451823179,0.7784689451823179,0.001,1.0,2.521629284502662e-05,0.031129456560456282
ours,coord_04_anchor,coord:method.ours.lambda_align,2,0.7780338003202153,0.0037740083717121564,0.7780338003202153,0.7780338003202153,0.001,1.8833819174013477,2.521629284502662e-05,0.03802613486924597
ours,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.7755045665848697,0.013042081530275695,0.7755045665848697,0.7755045665848697,0.001,1.7645117906944783,2.521629284502662e-05,0.03802613486924597
ours,coord_02_train_weight_decay_001,coord:train.weight_decay,2,0.7754269325381726,0.005628583619946059,0.7754269325381726,0.7754269325381726,0.001,1.0,2.521629284502662e-05,0.025761370357300944
ours,coord_04_method_ours_lambda_align_005,coord:method.ours.lambda_align,2,0.7752183681846252,0.006609054390701308,0.7752183681846252,0.7752183681846252,2.4309853449390485e-05,1.8833819174013477,2.521629284502662e-05,0.03802613486924597
ours,local_var_topk_014,local_var_topk,2,0.7746646068356351,0.001043151210847415,0.7746646068356351,0.7746646068356351,0.003264950101,2.0,2.5216293e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_006,coord:method.ours.lambda_align,2,0.7745566428139674,0.004265512042370079,0.7745566428139674,0.7745566428139674,0.007734370951139792,1.8833819174013477,2.521629284502662e-05,0.03802613486924597
ours,coord_03_train_grad_clip_008,coord:train.grad_clip,2,0.7740141532266884,0.014789734815093214,0.7740141532266884,0.7740141532266884,0.001,1.1089774084038875,2.521629284502662e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_004,coord:method.ours.lambda_align,2,0.7729200160992203,0.001318077849380872,0.7729200160992203,0.7729200160992203,0.0003739085202872783,1.8833819174013477,2.521629284502662e-05,0.03802613486924597
ours,local_var_topk_020,local_var_topk,2,0.7726229686990247,0.024918816734004312,0.7726229686990247,0.7726229686990247,0.00163247505,2.0,5.0432586e-05,0.03802613486924597
ours,local_var_topk_022,local_var_topk,2,0.7718292709632655,0.0028598998859430957,0.7718292709632655,0.7718292709632655,0.003264950101,1.883381917401,5.0432586e-05,0.03802613486924597
ours,local_var_topk_013,local_var_topk,2,0.7718205060798173,0.005900251175345594,0.7718205060798173,0.7718205060798173,0.003264950101,1.883381917401,2.5216293e-05,0.03802613486924597
ours,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.7715347304413329,0.011803854752474474,0.7715347304413329,0.7715347304413329,0.001,1.0,2.521629284502662e-05,0.03438558910465587
ours,local_var_topk_024,local_var_topk,2,0.7702098148800058,0.002586438067421204,0.7702098148800058,0.7702098148800058,0.006529900202,1.583381917401,5.0432586e-05,0.03802613486924597
ours,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.7694899364376704,0.008022256463945332,0.7694899364376704,0.7694899364376704,0.001,1.2363744014086087,2.521629284502662e-05,0.03802613486924597
ours,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.7694553689476663,0.0016872831882572825,0.7694553689476663,0.7694553689476663,0.001,1.0,2.521629284502662e-05,0.022941220984173272
ours,coord_04_method_ours_lambda_align_001,coord:method.ours.lambda_align,2,0.7691988812259007,0.010611953614500458,0.7691988812259007,0.7691988812259007,0.0012346878339290972,1.8833819174013477,2.521629284502662e-05,0.03802613486924597
