method,expert,purity_mean,purity_std
baseline,e0,0.5837675213813782,0.04558433268591496
baseline,e1,0.5997704863548279,0.3412622241950824
baseline,e2,0.7341970324516296,0.2177468783057329
baseline,e3,0.7696779131889343,0.20663992964652017
cagrad,e0,0.7714304089546203,0.38727228778954187
cagrad,e1,0.586336612701416,0.14793843838571946
cagrad,e2,0.5629728972911835,0.22162011850424743
cagrad,e3,0.7138783216476441,0.16498026972403348
ours,e0,0.793201231956482,0.2069624128357691
ours,e1,0.7683411836624146,0.17237522626900942
ours,e2,0.7903743982315063,0.17707175249853724
ours,e3,0.7708999574184418,0.18877348229321358
