method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6723202102714114,0.4268459379673004,0.0013770869700238109,0.11394289135932922,0.45783403515815735
baseline,3,1000.0,0.5635258779274644,0.6391549706459045,0.12361327558755875,0.19373862445354462,0.043493207544088364
baseline,5,1000.0,0.6529431167851996,0.26035818457603455,0.5537327527999878,0.12661081552505493,0.05929812416434288
baseline,7,1000.0,0.6689829476246679,0.15384776890277863,0.04216695576906204,0.4456671178340912,0.3583180606365204
baseline,11,1000.0,0.6706997248585578,0.28135839104652405,0.24689362943172455,0.39355891942977905,0.07818914949893951
cagrad,2,1000.0,0.6076332913297746,0.15301591157913208,0.1434004008769989,0.5541948080062866,0.1493890881538391
cagrad,3,1000.0,0.6211416479200125,0.16391238570213318,0.6006527543067932,0.1783532202243805,0.05708176642656326
cagrad,5,1000.0,0.6623463659305815,0.0,0.5690550804138184,0.038347259163856506,0.39259761571884155
cagrad,7,1000.0,0.6411379785449417,0.008490346372127533,0.36515578627586365,0.24878451228141785,0.37756919860839844
cagrad,11,1000.0,0.5991370853864484,0.02331935241818428,0.23282001912593842,0.5573428273200989,0.18651780486106873
ours,2,1000.0,0.49223614680684274,0.2673954963684082,0.23533497750759125,0.15941965579986572,0.33784982562065125
ours,3,1000.0,0.5091408086009324,0.09209824353456497,0.3813665509223938,0.29084059596061707,0.23569469153881073
ours,5,1000.0,0.5109393296383873,0.04926063120365143,0.2395862191915512,0.23450203239917755,0.4766511619091034
ours,7,1000.0,0.5279890017377006,0.26418831944465637,0.12438379228115082,0.12838906049728394,0.4830389618873596
ours,11,1000.0,0.5266476649859989,0.2686678171157837,0.2687670588493347,0.39332979917526245,0.06923537701368332
