method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,coord_03_train_grad_clip_027,0.720216606498195,0.0018050541516245744,1.2020926389522912,2.5551784142791192e-05,0.011082261465681276,,,,
cagrad,cagrad,baseline_cagrad,coord_03_train_grad_clip_004,0.7003610108303249,0.0036101083032490933,1.23610214958761,2.5230558699923877e-05,0.00034654617512255295,0.4,0.1,,
ours,ours,ours,coord_02_train_weight_decay_011,0.6967509025270758,0.0072202166064981865,1.0,3.356481249128643e-05,0.043221282843119845,,,0.001,true
