method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,local_var_topk_021,0.765625,0.0200892857142857,0.653745100333,2.5265375e-05,0.035318587196,,,,
cagrad,cagrad,baseline_cagrad,coord_05_method_baseline_cagrad_inner_lr_003,0.7678571428571428,0.026785714285714246,1.3976850553319569,2e-05,0.007863245139373703,0.8182351847867588,0.05020585132240891,,
ours,ours,ours,coord_01_train_lr_004,0.7600446428571428,0.034598214285714246,1.0,2.5551784142791192e-05,0.01,,,0.001,true
