method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.baseline_cagrad.c,method.baseline_cagrad.inner_lr,method.ours.eps,method.ours.lambda_align
baseline,coarse_default,coarse,1,0.5253858511236572,0.0,0.5253858511236572,0.5253858511236572,1.0,2e-05,0.01,,,,
baseline,coarse_000,coarse,1,0.40435042324701714,0.0,0.40435042324701714,0.40435042324701714,1.9402618210733533,3.0561322966883563e-06,0.025684015685516044,,,,
cagrad,coarse_000,coarse,1,0.6121807464374389,0.0,0.6121807464374389,0.6121807464374389,,3.483800361181956e-05,,0.18289574417509163,0.029095547553152943,,
cagrad,coarse_default,coarse,1,0.5693033466465677,0.0,0.5693033466465677,0.5693033466465677,,2e-05,,0.4,0.1,,
ours,coarse_000,coarse,1,0.5141559272737112,0.0,0.5141559272737112,0.5141559272737112,,2.166929842602531e-05,,,,6.487666709287877e-07,3.1270947858164215e-05
ours,coarse_default,coarse,1,0.4871937177297041,0.0,0.4871937177297041,0.4871937177297041,,2e-05,,,,1e-08,0.001
