lambda_align,seed,best_val_acc,final_val_acc,score_05_05,summary_json,curve_csv
0.0,2,0.6549280063021421,0.6549280063021421,0.6549280063021421,runs_ours_lambda_sweep50_glue3/lam_0.0e0/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_0.0e0/ours_s2_curve.csv
0.0,3,0.6683068493875232,0.6683068493875232,0.6683068493875232,runs_ours_lambda_sweep50_glue3/lam_0.0e0/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_0.0e0/ours_s3_curve.csv
0.0,5,0.6628650147659513,0.660831428897648,0.6618482218317996,runs_ours_lambda_sweep50_glue3/lam_0.0e0/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_0.0e0/ours_s5_curve.csv
1e-05,2,0.6459500848611519,0.637475866383349,0.6417129756222504,runs_ours_lambda_sweep50_glue3/lam_1.0em05/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_1.0em05/ours_s2_curve.csv
1e-05,3,0.6484471250763771,0.6422307682875766,0.6453389466819769,runs_ours_lambda_sweep50_glue3/lam_1.0em05/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_1.0em05/ours_s3_curve.csv
1e-05,5,0.6981210154209238,0.6509074260221214,0.6745142207215226,runs_ours_lambda_sweep50_glue3/lam_1.0em05/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_1.0em05/ours_s5_curve.csv
3e-05,2,0.6581689545119206,0.6572547371543939,0.6577118458331572,runs_ours_lambda_sweep50_glue3/lam_3.0em05/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_3.0em05/ours_s2_curve.csv
3e-05,3,0.656631973733775,0.656631973733775,0.656631973733775,runs_ours_lambda_sweep50_glue3/lam_3.0em05/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_3.0em05/ours_s3_curve.csv
3e-05,5,0.6718392996074533,0.6506853728819806,0.661262336244717,runs_ours_lambda_sweep50_glue3/lam_3.0em05/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_3.0em05/ours_s5_curve.csv
0.0001,2,0.6632126946030352,0.6464235667211263,0.6548181306620808,runs_ours_lambda_sweep50_glue3/lam_1.0em04/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_1.0em04/ours_s2_curve.csv
0.0001,3,0.6390905052448135,0.6390905052448135,0.6390905052448135,runs_ours_lambda_sweep50_glue3/lam_1.0em04/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_1.0em04/ours_s3_curve.csv
0.0001,5,0.6476192585757521,0.6220994697396803,0.6348593641577163,runs_ours_lambda_sweep50_glue3/lam_1.0em04/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_1.0em04/ours_s5_curve.csv
0.0003,2,0.6336736121531694,0.6336736121531694,0.6336736121531694,runs_ours_lambda_sweep50_glue3/lam_3.0em04/ours_s2.json,runs_ours_lambda_sweep50_glue3/lam_3.0em04/ours_s2_curve.csv
0.0003,3,0.6617799083386898,0.6534395257711383,0.657609717054914,runs_ours_lambda_sweep50_glue3/lam_3.0em04/ours_s3.json,runs_ours_lambda_sweep50_glue3/lam_3.0em04/ours_s3_curve.csv
0.0003,5,0.6595416605330864,0.6307840708707748,0.6451628657019306,runs_ours_lambda_sweep50_glue3/lam_3.0em04/ours_s5.json,runs_ours_lambda_sweep50_glue3/lam_3.0em04/ours_s5_curve.csv
