method,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
baseline,2,0.6160076283075439,0.6160076283075439,0.6160076283075439,True,/share/home/yuli0398/Optimization/MOE-grad-conflict-routing/runs/paper_suite_smoke/appendix/ffn_generalization/multi_glue3_deberta_ffn/final/baseline_s2.json,/share/home/yuli0398/Optimization/MOE-grad-conflict-routing/runs/paper_suite_smoke/appendix/ffn_generalization/multi_glue3_deberta_ffn/final/baseline_s2_curve.csv
ours,2,0.6166468101547794,0.6166468101547794,0.6166468101547794,True,/share/home/yuli0398/Optimization/MOE-grad-conflict-routing/runs/paper_suite_smoke/appendix/ffn_generalization/multi_glue3_deberta_ffn/final/ours_s2.json,/share/home/yuli0398/Optimization/MOE-grad-conflict-routing/runs/paper_suite_smoke/appendix/ffn_generalization/multi_glue3_deberta_ffn/final/ours_s2_curve.csv
