method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.6906007969820941,0.3795204162597656,0.06527556478977203,0.12864896655082703,0.42655524611473083
baseline,3,1000.0,0.6866066287168198,0.4334518313407898,0.4610958397388458,0.008548861369490623,0.09690343588590622
baseline,5,1000.0,0.663581006159937,0.01267585251480341,0.32358601689338684,0.05902966856956482,0.6047088503837585
baseline,7,1000.0,0.684303194836334,0.027323488146066666,0.3198193907737732,0.5542666912078857,0.09859021753072739
baseline,11,1000.0,0.6892347942899775,0.06808950752019882,0.1433817595243454,0.39672672748565674,0.39180198311805725
cagrad,2,1000.0,0.6877042735685353,0.0033763516694307327,0.4694434404373169,0.3972310721874237,0.12994877994060516
cagrad,3,1000.0,0.6897796502129899,0.1486097276210785,0.44099166989326477,0.04861614480614662,0.361782431602478
cagrad,5,1000.0,0.6730491181973506,0.5846187472343445,0.36148110032081604,0.0005867608124390244,0.0533134751021862
cagrad,7,1000.0,0.6810144109099552,0.21129147708415985,0.3661203682422638,0.006579386070370674,0.41600877046585083
cagrad,11,1000.0,0.6882738705586504,0.40065860748291016,0.42522814869880676,0.02785019390285015,0.1462630182504654
ours,2,1000.0,0.6723610520086907,0.3008544147014618,0.10417984426021576,0.22989866137504578,0.36506736278533936
ours,3,1000.0,0.6841259060634507,0.3544677495956421,0.1313389390707016,0.3048926591873169,0.20930087566375732
ours,5,1000.0,0.6798253729249593,0.2995103597640991,0.35092467069625854,0.25668567419052124,0.09287960082292557
ours,7,1000.0,0.6847499578294379,0.43507081270217896,0.16509734094142914,0.2931562066078186,0.10667572170495987
ours,11,1000.0,0.6836214862005027,0.13627685606479645,0.31028804183006287,0.1594693958759308,0.39396560192108154
