method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
cagrad,5,0.7996570081525208,0.016730745569245947,0.7930864380900439,0.010256616546626933,0.7963717231212823,0.01253158798790157
ours,5,0.7913130941810494,0.018514428228088107,0.7889192954982653,0.017203557125287275,0.7901161948396573,0.017709967336342697
baseline,5,0.7906271048304154,0.019412108047748712,0.7814894586235628,0.01943442487718977,0.7860582817269891,0.019115857827523976
