method,expert,score_var,score_mean,score_std
baseline,e0,0.03336564076093969,0.24013839168474077,0.18266264194120177
baseline,e1,0.019971982052057007,0.28367712795734407,0.14132226311539525
baseline,e2,0.04341835506451304,0.2314718823879957,0.20837071546768043
baseline,e3,0.023226529836914717,0.38418917506933215,0.15240252569073362
cagrad,e0,0.04522627902791941,0.2927551987580955,0.21266471034922416
cagrad,e1,0.0014655907124299006,0.43746704161167144,0.03828303426362519
cagrad,e2,0.03313003474287279,0.11947023997781799,0.1820165782088895
cagrad,e3,0.019838493275303525,0.2586284544318914,0.14084918627845716
ours,e0,0.0037338267730412066,0.36256111711263656,0.06110504703411337
ours,e1,0.008521978173651256,0.22482146322727203,0.09231456100557081
ours,e2,0.004875520135722358,0.3108502060174942,0.0698249248887699
ours,e3,0.017507766962838126,0.2605507157742977,0.13231691865682985
