method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,router_load_e4,router_load_e5
baseline,2,1000.0,1.0917556632172178,0.06823378056287766,0.2898229956626892,0.013833196833729744,0.1774483621120453,0.3128460645675659,0.13781574368476868
baseline,3,1000.0,1.0916522578508765,0.08500232547521591,0.12734027206897736,0.2078218162059784,0.12766078114509583,0.3404732346534729,0.11170148104429245
baseline,5,1000.0,1.091117525473237,0.21900878846645355,0.015598239377140999,0.15187346935272217,0.0059359110891819,0.2935400903224945,0.3140433132648468
baseline,7,1000.0,1.0940818605185658,0.33885657787323,0.16818225383758545,0.001172363292425871,0.29332664608955383,0.19846202433109283,0.0
baseline,11,1000.0,1.0852577153731275,0.025019146502017975,0.36642128229141235,0.3348270356655121,0.00041836666059680283,0.261550635099411,0.01176363229751587
ours,2,1000.0,1.081676200653116,0.004594799596816301,0.15769141912460327,0.08066827058792114,0.07253582775592804,0.3458578586578369,0.3386518359184265
ours,3,1000.0,1.0856506410572264,0.3933500349521637,0.11572694778442383,0.004574006423354149,0.0997699648141861,0.16980379819869995,0.21677535772323608
ours,5,1000.0,1.0841663873719949,0.00035746878711506724,0.2619905173778534,0.3151346445083618,0.00042779650539159775,0.036750733852386475,0.38533902168273926
ours,7,1000.0,1.0864871586500495,0.04979686066508293,0.06935133039951324,0.33552882075309753,0.07123687863349915,0.30288511514663696,0.17120088636875153
ours,11,1000.0,1.0916963252066463,0.12711144983768463,0.2371196448802948,0.15869182348251343,0.003938240930438042,0.17680619657039642,0.2963327169418335
