method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,0.08979438383431311
baseline,e0,e2,0.14976808308773837
baseline,e0,e3,-0.10018202709437643
baseline,e0,e4,-0.1313985153529902
baseline,e0,e5,0.056707870500116234
baseline,e1,e0,0.08979438383431311
baseline,e1,e1,1.0
baseline,e1,e2,-0.004662502250215994
baseline,e1,e3,-0.0358369176722554
baseline,e1,e4,0.01404810357468601
baseline,e1,e5,-0.06333315624281874
baseline,e2,e0,0.14976808308773837
baseline,e2,e1,-0.004662502250215994
baseline,e2,e2,1.0
baseline,e2,e3,-0.01824509024847763
baseline,e2,e4,-0.1999654963691624
baseline,e2,e5,0.06995857294545536
baseline,e3,e0,-0.10018202709437643
baseline,e3,e1,-0.0358369176722554
baseline,e3,e2,-0.01824509024847763
baseline,e3,e3,1.0
baseline,e3,e4,0.17098725976304494
baseline,e3,e5,-0.07437619046901696
baseline,e4,e0,-0.1313985153529902
baseline,e4,e1,0.01404810357468601
baseline,e4,e2,-0.1999654963691624
baseline,e4,e3,0.17098725976304494
baseline,e4,e4,1.0
baseline,e4,e5,-0.037877064382581926
baseline,e5,e0,0.056707870500116234
baseline,e5,e1,-0.06333315624281874
baseline,e5,e2,0.06995857294545536
baseline,e5,e3,-0.07437619046901696
baseline,e5,e4,-0.037877064382581926
baseline,e5,e5,1.0
ours,e0,e0,1.0
ours,e0,e1,-0.0333603773580182
ours,e0,e2,0.0836739402370474
ours,e0,e3,0.11572390588881001
ours,e0,e4,0.05631214955456415
ours,e0,e5,-0.11936375911135903
ours,e1,e0,-0.0333603773580182
ours,e1,e1,1.0
ours,e1,e2,0.057656007093331005
ours,e1,e3,-0.044831365702373026
ours,e1,e4,0.0606390537198712
ours,e1,e5,0.16415099240081954
ours,e2,e0,0.0836739402370474
ours,e2,e1,0.057656007093331005
ours,e2,e2,1.0
ours,e2,e3,0.15087964541096904
ours,e2,e4,-0.09601661576950242
ours,e2,e5,-0.2989035912704352
ours,e3,e0,0.11572390588881001
ours,e3,e1,-0.044831365702373026
ours,e3,e2,0.15087964541096904
ours,e3,e3,1.0
ours,e3,e4,-0.008039668176199288
ours,e3,e5,-0.14256010364564758
ours,e4,e0,0.05631214955456415
ours,e4,e1,0.0606390537198712
ours,e4,e2,-0.09601661576950242
ours,e4,e3,-0.008039668176199288
ours,e4,e4,1.0
ours,e4,e5,0.18170057787546776
ours,e5,e0,-0.11936375911135903
ours,e5,e1,0.16415099240081954
ours,e5,e2,-0.2989035912704352
ours,e5,e3,-0.14256010364564758
ours,e5,e4,0.18170057787546776
ours,e5,e5,1.0
