method,expert,purity_mean,purity_std
baseline,e0,0.6954694211483001,0.24444848081531306
baseline,e1,0.5461861431598664,0.22766702255162374
baseline,e2,0.5184964299201965,0.3257803905860078
baseline,e3,0.49382002353668214,0.3243892377676827
baseline,e4,0.5135515809059144,0.13058063289835914
baseline,e5,0.5131252944469452,0.3130434432371759
ours,e0,0.6413884282112121,0.3820855447638562
ours,e1,0.5690040826797486,0.20377289697685147
ours,e2,0.5335528016090393,0.2793332816884036
ours,e3,0.5483181357383728,0.45753531990976093
ours,e4,0.7140950322151184,0.2424872266925614
ours,e5,0.5819971561431885,0.08723131789190619
